epoch,loss,acc
0,0.263889,0.500000
1,0.263866,0.500000
2,0.263823,0.500000
3,0.263762,0.500000
4,0.263685,0.500000
5,0.263594,0.500000
6,0.263490,0.500000
7,0.263375,0.500000
8,0.263251,0.500000
9,0.263118,0.500000
10,0.262978,0.500000
11,0.262831,0.500000
12,0.262680,0.500000
13,0.262524,0.500000
14,0.262365,0.500000
15,0.262203,0.500000
16,0.262039,0.500000
17,0.261873,0.500000
18,0.261706,0.500000
19,0.261539,0.500000
20,0.261371,0.500000
21,0.261203,0.500000
22,0.261036,0.500000
23,0.260869,0.500000
24,0.260704,0.500000
25,0.260539,0.500000
26,0.260376,0.500000
27,0.260215,0.500000
28,0.260055,0.500000
29,0.259897,0.500000
30,0.259741,0.500000
31,0.259587,0.500000
32,0.259435,0.500000
33,0.259285,0.500000
34,0.259138,0.500000
35,0.258993,0.500000
36,0.258850,0.500000
37,0.258709,0.500000
38,0.258571,0.500000
39,0.258435,0.500000
40,0.258301,0.500000
41,0.258170,0.500000
42,0.258041,0.500000
43,0.257915,0.500000
44,0.257791,0.500000
45,0.257669,0.250000
46,0.257550,0.250000
47,0.257432,0.250000
48,0.257317,0.250000
49,0.257205,0.250000
50,0.257094,0.250000
51,0.256986,0.250000
52,0.256880,0.250000
53,0.256776,0.250000
54,0.256674,0.250000
55,0.256574,0.250000
56,0.256476,0.250000
57,0.256380,0.250000
58,0.256286,0.250000
59,0.256194,0.250000
60,0.256103,0.250000
61,0.256015,0.250000
62,0.255929,0.250000
63,0.255844,0.250000
64,0.255761,0.250000
65,0.255680,0.250000
66,0.255600,0.250000
67,0.255522,0.250000
68,0.255446,0.250000
69,0.255371,0.250000
70,0.255298,0.250000
71,0.255226,0.250000
72,0.255156,0.250000
73,0.255087,0.250000
74,0.255020,0.250000
75,0.254954,0.250000
76,0.254889,0.250000
77,0.254826,0.250000
78,0.254764,0.250000
79,0.254704,0.250000
80,0.254644,0.250000
81,0.254586,0.250000
82,0.254529,0.250000
83,0.254474,0.250000
84,0.254419,0.250000
85,0.254366,0.250000
86,0.254313,0.250000
87,0.254262,0.250000
88,0.254212,0.250000
89,0.254162,0.250000
90,0.254114,0.250000
91,0.254067,0.250000
92,0.254021,0.250000
93,0.253975,0.250000
94,0.253931,0.250000
95,0.253887,0.250000
96,0.253845,0.250000
97,0.253803,0.250000
98,0.253762,0.250000
99,0.253722,0.250000
