dataset,act_hidden,act_init,seed,final_loss,final_acc,logfile
spirals,FIXED_RELU,ACT_INIT_DEFAULT,42,0.193793,0.615,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\spirals_fixed_relu_act_init_default_results_42.csv
spirals,FIXED_RELU,ACT_INIT_RANDOM_SMALL,42,0.193793,0.615,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\spirals_fixed_relu_act_init_random_small_results_42.csv
spirals,FIXED_RELU,ACT_INIT_NOISY,42,0.193793,0.615,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\spirals_fixed_relu_act_init_noisy_results_42.csv
mnist,POLY_CUBIC,ACT_INIT_DEFAULT,42,1.464205,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_poly_cubic_act_init_default_results_42.csv
mnist,POLY_CUBIC,ACT_INIT_RANDOM_SMALL,42,1.464323,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_poly_cubic_act_init_random_small_results_42.csv
mnist,POLY_CUBIC,ACT_INIT_NOISY,42,1.464396,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_poly_cubic_act_init_noisy_results_42.csv
mnist,PRELU,ACT_INIT_DEFAULT,42,1.46569,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_prelu_act_init_default_results_42.csv
mnist,PRELU,ACT_INIT_RANDOM_SMALL,42,1.465616,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_prelu_act_init_random_small_results_42.csv
mnist,PRELU,ACT_INIT_NOISY,42,1.465369,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_prelu_act_init_noisy_results_42.csv
mnist,SWISH,ACT_INIT_DEFAULT,42,1.465114,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_swish_act_init_default_results_42.csv
mnist,SWISH,ACT_INIT_RANDOM_SMALL,42,1.465177,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_swish_act_init_random_small_results_42.csv
mnist,SWISH,ACT_INIT_NOISY,42,1.465169,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_swish_act_init_noisy_results_42.csv
mnist,PIECEWISE,ACT_INIT_DEFAULT,42,1.464946,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_piecewise_act_init_default_results_42.csv
mnist,PIECEWISE,ACT_INIT_RANDOM_SMALL,42,1.464295,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_piecewise_act_init_random_small_results_42.csv
mnist,PIECEWISE,ACT_INIT_NOISY,42,1.464315,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_piecewise_act_init_noisy_results_42.csv
mnist,FIXED_RELU,ACT_INIT_DEFAULT,42,1.463982,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_fixed_relu_act_init_default_results_42.csv
mnist,FIXED_RELU,ACT_INIT_RANDOM_SMALL,42,1.463982,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_fixed_relu_act_init_random_small_results_42.csv
mnist,FIXED_RELU,ACT_INIT_NOISY,42,1.463982,0.9973,C:\Users\KIIT\OneDrive\Desktop\Ipsha Project\lan-c\experiments\results\mnist_fixed_relu_act_init_noisy_results_42.csv
